Risk Assessment,CC3.1,16,"Establishes Sub-objectives to Support Objectives—Management identifies sub-objectives related to security, availability, processing integrity, confidentiality, and privacy to support the achievement of the entity’s objectives related to reporting, operations, and compliance.",Policy Control - Risk Management Policy,
Logical and Physical Access Controls,CC6.1,,"The entity implements logical access security software, infrastructure, and architectures over protected information assets to protect them from security events to meet the entity’s objectives",,
Logical and Physical Access Controls,CC6.1,1,"Identifies and Manages the Inventory of Information Assets—The entity identifies, inventories, classifies, and manages information assets.  ",Policy Control - System Access Policy,Compliance Scanning - Detect access control issues across cloud services
Logical and Physical Access Controls,CC6.1,2,"Restricts Logical Access—Logical access to information assets, including hardware, data (at-rest, during processing, or in transmission), software, administrative authorities, mobile devices, output, and offline system components is restricted through the use of access control software and rule sets. ",Policy Control - System Access Policy,Compliance Scanning - Detect unrestricted cloud resources and open ports
Logical and Physical Access Controls,CC6.1,3,"Identifies and Authenticates Users—Persons, infrastructure and software are identified and authenticated prior to accessing information assets, whether locally or remotely. ",Policy Control - System Access Policy,"Compliance Scanning - Detect cloud user, role, and permission issues"
Logical and Physical Access Controls,CC6.1,4,Considers Network Segmentation—Network segmentation permits unrelated portions of the entity's information system to be isolated from each other. ,Policy Control - System Access Policy,Compliance Scanning - Determine network and resource security rule issues
Logical and Physical Access Controls,CC6.1,5,"Manages Points of Access—Points of access by outside entities and the types of data that flow through the points of access are identified, inventoried, and managed. The types of individuals and systems using each point of access are identified, documented, and managed. ",Policy Control - System Access Policy,Compliance Scanning - Determine network and resource security rule issues
Logical and Physical Access Controls,CC6.1,6,"Restricts Access to Information Assets—Combinations of data classification, separate data structures, port restrictions, access protocol restrictions, user identification, and digital certificates are used to establish access control rules for information assets.  ",Policy Control - System Access Policy,Compliance Scanning - Determine network and resource security rule issues
Logical and Physical Access Controls,CC6.1,7,"Manages Identification and Authentication—Identification and authentication requirements are established, documented, and managed for individuals and systems accessing entity information, infrastructure and software.",Policy Control - System Access Policy,Compliance Scanning - Detect user password and access key rotation and issues
Logical and Physical Access Controls,CC6.1,8,"Manages Credentials for Infrastructure and Software—New internal and external infrastructure and software  are registered, authorized, and documented prior to being granted access credentials and implemented on the network or access point. Credentials are removed and access is disabled when access is no longer required or the infrastructure and software are no longer in use. ",Policy Control - System Access Policy,"Compliance Scanning - Detect insecure or unrotated access keys, weak password standards"
Logical and Physical Access Controls,CC6.1,9,"Uses Encryption to Protect Data—The entity uses encryption to supplement other measures used to protect data-at-rest, when such protections are deemed appropriate based on assessed risk.",Policy Control - Data Integrity Policy,"Compliance Scanning - Detect cloud resource encryption ""at-rest"" and ""in-transit"""
Logical and Physical Access Controls,CC6.1,10,"Protects Encryption Keys—Processes are in place to protect encryption keys during generation, storage, use, and destruction.",Policy Control - Data Integrity Policy,Compliance Scanning - Detect cloud resource encryption issues
Logical and Physical Access Controls,CC6.6 ,,The entity implements logical access security measures to protect against threats from sources outside its system boundaries.,,
Logical and Physical Access Controls,CC6.6 ,1,"Restricts Access—The types of activities that can occur through a communication channel (for example, FTP site, router port) are restricted. ",Policy Control - System Access Policy,Compliance Scanning - Detect unrestricted cloud resources and open ports
Logical and Physical Access Controls,CC6.6,2,Protects Identification and Authentication Credentials—Identification and authentication credentials are protected during transmission outside its system boundaries.,Policy Control - System Access Policy,Compliance Scanning - Detect access control issues across cloud services
Logical and Physical Access Controls,CC6.6,3,Requires Additional Authentication or Credentials—Additional authentication information or credentials are required when accessing the system from outside its boundaries.,Policy Control - System Access Policy,Compliance Scanning - Detect access control issues across cloud services
Logical and Physical Access Controls,CC6.6,4,"Implements Boundary Protection Systems—Boundary protection systems (for example, firewalls, demilitarized zones, and intrusion detection systems) are implemented to protect external access points from attempts and unauthorized access and are monitored to detect such attempts.",Policy Control - System Access Policy,Compliance Scanning - Detect access control issues across cloud services
System Operations,CC7.1,,"To meet its objectives, the entity uses detection and monitoring procedures to identify (1) changes to configurations that result in the introduction of new vulnerabilities, and (2) susceptibilities to newly discovered vulnerabilities.",,
System Operations,CC7.1,1,Uses Defined Configuration Standards—Management has defined configuration standards. ,Policy Control - Configuration Management Policy,Compliance Scanning - Dash Continuous Compliance Monitoring Standards
System Operations,CC7.1,2,"Monitors Infrastructure and Software—The entity monitors infrastructure and software for noncompliance with the standards, which could threaten the achievement of the entity's objectives.  ",Policy Control - Configuration Management Policy,Compliance Scanning - Dash Continuous Compliance Monitoring
System Operations,CC7.1,3,"Implements Change-Detection Mechanisms—The IT system includes a change-detection mechanism (for example, file integrity monitoring tools) to alert personnel to unauthorized modifications of critical system files, configuration files, or content files. ",Policy Control - Configuration Management Policy,Compliance Scanning - Detect when audit logging is not enabled across cloud resources
System Operations,CC7.1,4,Detects Unknown or Unauthorized Components—Procedures are in place to detect the introduction of unknown or unauthorized components.  ,Policy Control - Configuration Management Policy,Compliance Scanning - Detect cloud service anomalies
System Operations,CC7.1,5,Conducts Vulnerability Scans—The entity conducts vulnerability scans designed to identify potential vulnerabilities or misconfigurations on a periodic basis and after any significant change in the environment and takes action to remediate identified deficiencies on a timely basis.,Policy Control - Intrusion Detection System (IDS) Policy,Compliance Scanning - Dash Continuous Compliance Monitoring
Additional Criteria For Availability,A1.2,,"The entity authorizes, designs, develops or acquires, implements, operates, approves, maintains, and monitors environmental protections, software, data back-up processes, and recovery infrastructure to meet its objectives.",,
Additional Criteria For Availability,A1.2,1,"Identifies Environmental Threats—As part of the risk assessment process, management identifies environmental threats that could impair the availability of the system, including threats resulting from adverse weather, failure of environmental control systems, electrical discharge, fire, and water.  ",Policy Control - Facility Access Policy,Compliance Scanning - Detect inadequate cloud service backup settings
Additional Criteria For Availability,A1.2,2,Designs Detection Measures—Detection measures are implemented to identify anomalies that could result from environmental threat events. ,Policy Control - Disaster Recovery Policy,Compliance Scanning - Detect inadequate cloud service backup settings
Additional Criteria For Availability,A1.2,3,Implements and Maintains Environmental Protection Mechanisms— Management implements and maintains environmental protection mechanisms to prevent and mitigate against environmental events.  ,Policy Control - Facility Access Policy,
Additional Criteria For Availability,A1.2,4,Implements Alerts to Analyze Anomalies—Management implements alerts that are communicated to personnel for analysis to identify environmental threat events.,Policy Control - Disaster Recovery Policy,Compliance Scanning - Detect audit logging settings and issues
Additional Criteria For Availability,A1.2,5,"Responds to Environmental Threat Events—Procedures are in place for responding to environmental threat events and for evaluating the effectiveness of those policies and procedures on a periodic basis. This includes automatic mitigation systems (for example, uninterruptable power system and generator back-up subsystem).",Policy Control - Facility Access Policy + Disaster Recovery Policy,
Additional Criteria For Availability,A1.2,6,"Communicates and Reviews Detected Environmental Threat Events—Detected environmental threat events are communicated to and reviewed by the individuals responsible for the management of the system, and actions are taken, if necessary.",Policy Control - Facility Access Policy + Disaster Recovery Policy,
Additional Criteria For Availability,A1.2,7,Determines Data Requiring Backup—Data is evaluated to determine whether backup is required. ,Policy Control - Disaster Recovery Policy,Compliance Scanning - Detect inadequate cloud service backup settings
Additional Criteria For Availability,A1.2,8,"Performs Data Backup—Procedures are in place for backing up data, monitoring to detect back-up failures, and initiating corrective action when such failures occur. ",Policy Control - Disaster Recovery Policy,Compliance Scanning - Detect inadequate cloud service backup settings
Additional Criteria For Availability,A1.2,9,Addresses Offsite Storage—Back-up data is stored in a location at a distance from its principal storage location sufficient that the likelihood of a security or environmental threat event affecting both sets of data is reduced to an appropriate level.  ,Policy Control - Disaster Recovery Policy,
Additional Criteria For Availability,A1.2,10,Implements Alternate Processing Infrastructure—Measures are implemented for migrating processing to alternate infrastructure in the event normal processing infrastructure becomes unavailable.  ,Policy Control - Disaster Recovery Policy,
Additional Criteria For Processing Integrity,PI1.5,,"The entity implements policies and procedures to store inputs, items in processing, and outputs completely, accurately, and timely in accordance with system specifications to meet the entity’s objectives.",,
Additional Criteria For Processing Integrity,PI1.5,1,"Protects Stored Items—Stored items are protected to prevent theft, corruption, destruction, or deterioration that would prevent output from meeting specifications.",Policy Control - Disaster Recovery Policy,Compliance Scanning - Detect cloud service access and backup settings
Additional Criteria For Processing Integrity,PI1.5,2,"Archives and Protects System Records—System records are archived, and archives are protected against theft, corruption, destruction, or deterioration that would prevent them from being used. ",Policy Control - Disaster Recovery Policy,Compliance Scanning - Detect cloud service access and backup settings
Additional Criteria For Processing Integrity,PI1.5,3,"Stores Data Completely and Accurately—Procedures are in place to provide for the complete, accurate, and timely storage of data. ",Policy Control - Disaster Recovery Policy,Compliance Scanning - Detect cloud service availability and backup settings
Additional Criteria For Processing Integrity,PI1.5,4,Creates and Maintains Records of System Storage Activities—Records of system storage activities are created and maintained completely and accurately in a timely manner.,Policy Control - Disaster Recovery Policy,
